ab ba
abo oba
abos soba
abut tuba
ado oda
ados soda
agar raga
agas saga
agenes senega
ah ha
ahs sha
aider redia
air ria
airts stria
ajar raja
al la
alan nala
alif fila
am ma
amen nema
amis sima
an na
anger regna
animal lamina
animes semina
anon nona
ante etna
apod dopa
arb bra
are era
ares sera
aril lira
arris sirra
arum mura
at ta
ate eta
ates seta
auks skua
avid diva
avo ova
ay ya
bad dab
bag gab
bal lab
bals slab
ban nab
bard drab
bas sab
bat tab
bats stab
bed deb
beef feeb
ben neb
bid dib
big gib
bin nib
bins snib
bird drib
bis sib
blub bulb
bog gob
bonk knob
bos sob
bots stob
bows swob
boy yob
brad darb
brag garb
bro orb
bros sorb
bud dub
bun nub
buns snub
bur rub
burd drub
burg grub
bus sub
but tub
buts stub
cam mac
cap pac
cares serac
cep pec
ceps spec
cis sic
cite etic
cod doc
cor roc
cram marc
dag gad
dah had
dahs shad
dal lad
dam mad
dap pad
dart trad
daw wad
de ed
debut tubed
decaf faced
decal laced
dedal laded
deem meed
deep peed
deeps speed
deer reed
dees seed
deet teed
deets steed
def fed
defer refed
deffer reffed
degami imaged
deifier reified
deil lied
deke eked
del led
delf fled
deliver reviled
dels sled
demit timed
denier reined
denies seined
denim mined
dens sned
depot toped
depots stoped
derat tared
derats stared
dessert tressed
desserts stressed
devas saved
devil lived
dew wed
dewans snawed
dexes sexed
dial laid
dialer relaid
diaper repaid
dif fid
dig gid
dim mid
dinar ranid
diol loid
diols sloid
do od
dog god
dom mod
don nod
doom mood
door rood
dor rod
dormin nimrod
dorp prod
dos sod
doser resod
dot tod
drail liard
draw ward
drawer reward
draws sward
dray yard
dual laud
duel leud
duo oud
dup pud
dups spud
eat tae
edile elide
edit tide
eel lee
ef fe
eh he
elides sedile
em me
emes seme
emir rime
emit time
emits stime
en ne
enol lone
er re
ergo ogre
eros sore
ervil livre
esnes sense
etas sate
even neve
evil live
eviler relive
fer ref
fir rif
fires serif
flog golf
flow wolf
fool loof
gal lag
gals slag
gam mag
gan nag
gar rag
gas sag
gat tag
gateman nametag
gater retag
gats stag
gay yag
gel leg
gelder redleg
gem meg
gen neg
get teg
gip pig
girt trig
gnar rang
gnat tang
gnats stang
gnaws swang
gnus sung
gorp prog
got tog
gul lug
gulp plug
guls slug
gum mug
gums smug
guns snug
gut tug
guv vug
habus subah
hahs shah
hales selah
hap pah
hay yah
hep peh
hey yeh
ho oh
hon noh
hoop pooh
hop poh
iron nori
is si
it ti
jar raj
kay yak
keel leek
keels sleek
keep peek
keets steek
kips spik
kiths shtik
knaps spank
knar rank
knits stink
know wonk
korat tarok
lager regal
lair rial
lap pal
lares seral
larum mural
las sal
leer reel
lees seel
leet teel
leets steel
leper repel
les sel
let tel
lever revel
levins snivel
liar rail
lin nil
lion noil
lit til
lobo obol
loom mool
loons snool
loop pool
loops spool
loot tool
looter retool
loots stool
lop pol
lotos sotol
macs scam
maes seam
man nam
map pam
maps spam
mar ram
marcs scram
mart tram
mat tam
maws swam
may yam
meet teem
meter retem
mho ohm
mils slim
mir rim
mis sim
mo om
mon nom
moor room
moot toom
mop pom
mor rom
mos som
mot tom
mu um
mures serum
mus sum
muton notum
muts stum
namer reman
nap pan
naps span
naw wan
neep peen
net ten
neves seven
new wen
nip pin
nips spin
nit tin
no on
nolos solon
nonet tenon
nos son
not ton
notes seton
now won
nu un
nus sun
nut tun
nuts stun
oat tao
oohs shoo
oot too
os so
ow wo
oy yo
pacer recap
pals slap
pans snap
par rap
part trap
parts strap
pas sap
pat tap
paw wap
paws swap
pay yap
peels sleep
pees seep
per rep
perp prep
pets step
pins snip
pis sip
pit tip
pols slop
pools sloop
poons snoop
port trop
ports strop
pot top
pots stop
pow wop
pows swop
prat tarp
pupils slipup
puris sirup
pus sup
put tup
raps spar
rat tar
rats star
raw war
ray yar
rebus suber
rebut tuber
recaps spacer
redes seder
redips spider
redraw warder
redrawer rewarder
rees seer
reflet telfer
reflow wolfer
reknit tinker
reknits stinker
relit tiler
remeet teemer
remit timer
rennet tenner
repins sniper
repot toper
repots stoper
res ser
retros sorter
rot tor
sakis sikas
sallets stellas
saps spas
saros soras
sat tas
saw was
scares seracs
secret terces
seeks skees
selahs shales
sirs sris
sit tis
six xis
skeets steeks
skips spiks
sleeps speels
sleet teels
sleets steels
slit tils
sloops spools
smart trams
smuts stums
snaps spans
snaw wans
snaws swans
snips spins
snit tins
snoops spoons
snoot toons
snot tons
snow wons
sow wos
spat taps
spay yaps
spaz zaps
spirt trips
spirts strips
spit tips
sports strops
spot tops
spots stops
sprat tarps
sprits stirps
stat tats
staw wats
stet tets
stew wets
stot tots
stow wots
stows swots
straw warts
strow worts
struts sturts
sulu ulus
swat taws
sway yaws
swot tows
tav vat
taw wat
tew wet
tort trot
tow wot
trow wort
way yaw
